Date,House Price Index
01/01/2010,97.2
01/04/2010,100.4
01/07/2010,102
01/10/2010,104.3
01/01/2011,106.4
01/04/2011,109.2
01/07/2011,112
01/10/2011,116
01/01/2012,119.9
01/04/2012,123.9
01/07/2012,126.8
01/10/2012,132.6
01/01/2013,133.1
01/04/2013,138.1
01/07/2013,143.6
01/10/2013,145
01/01/2014,146.7
01/04/2014,152
01/07/2014,156.3
01/10/2014,157.6
01/01/2015,160.2
01/04/2015,162.8
01/07/2015,167.1
01/10/2015,167.8
01/01/2016,171.8
01/04/2016,174.4
01/07/2016,178.5
01/10/2016,179.5
01/01/2017,183.3
01/04/2017,186.3
01/07/2017,190.1
01/10/2017,190.5
01/01/2018,191.2
01/04/2018,193.1
01/07/2018,195.3
01/10/2018,195.3
01/01/2019,196
01/04/2019,197.6
01/07/2019,199.5
01/10/2019,198.8
01/01/2020,199.7
01/04/2020,200.4
01/07/2020,199.9
01/10/2020,201.2
01/01/2021,201.1
01/04/2021,202.5
01/07/2021,202
01/10/2021,205
01/01/2022,205.9
01/04/2022,207.8
01/07/2022,212.4
01/10/2022,213
01/01/2023,215
01/04/2023,217.7
01/07/2023,220.6
01/10/2023,221.9
01/01/2024,224.5
01/04/2024,227
01/07/2024,229.3
01/10/2024,231.3
01/01/2025,233.9
01/04/2025,236.3
01/07/2025,238.5
01/10/2025,240.8
01/01/2026,243.4
01/04/2026,245.7
01/07/2026,248.1
01/10/2026,250.5
01/01/2027,253
01/04/2027,255.4
01/07/2027,257.8
01/10/2027,260.3
01/01/2028,262.8
01/04/2028,265.3
01/07/2028,267.8
01/10/2028,270.3
01/01/2029,272.8
01/04/2029,275.4
01/07/2029,277.9
01/10/2029,280.5
01/01/2030,283
01/04/2030,285.6
01/07/2030,288.2
01/10/2030,290.8
